ONS.Code,Local.authority.name,Number.of.defences,Average.defence.condition..1.5.,Average.condition.maintatained.by.EA..1.5.,Proportion.above.required.condiiton,Proportion.maintained.by.EA
E06000001,Hartlepool,13,3.54,3.58,61.50%,92.30%
E06000002,Middlesbrough,37,2.35,2.17,89.20%,48.60%
E06000003,Redcar and Cleveland,98,2.15,2.44,100.00%,9.20%
E06000004,Stockton-on-Tees,108,2.58,2.55,91.70%,94.40%
E06000005,Darlington,71,3.03,3.33,91.50%,56.30%
E06000006,Halton,55,3.15,3.24,98.20%,45.50%
E06000007,Warrington,163,2.89,2.73,94.50%,66.90%
E06000008,Blackburn with Darwen,90,2.87,3.06,94.40%,36.70%
E06000009,Blackpool,3,3,3,100.00%,33.30%
E06000010,"Kingston upon Hull, City of",327,2.89,2.39,86.50%,15.00%
E06000011,East Riding of Yorkshire,604,2.98,3.01,86.80%,77.30%
E06000012,North East Lincolnshire,181,2.48,2.54,96.70%,84.00%
E06000013,North Lincolnshire,597,2.47,2.47,96.10%,96.00%
E06000014,York,87,2.29,2.28,96.60%,89.70%
E06000015,Derby,125,2.96,2.96,98.40%,20.80%
E06000016,Leicester,33,2.58,2.55,97.00%,93.90%
E06000017,Rutland,2,2,2,100.00%,50.00%
E06000018,Nottingham,165,2.49,2.49,98.20%,87.30%
E06000019,"Herefordshire, County of",133,2.91,2.92,88.00%,65.40%
E06000020,Telford and Wrekin,11,3,3,100.00%,27.30%
E06000021,Stoke-on-Trent,1,2,2,100.00%,100.00%
E06000022,Bath and North East Somerset,5,2.2,0,100.00%,0.00%
E06000023,"Bristol, City of",74,2.36,2.44,98.60%,36.50%
E06000024,North Somerset,251,2.38,2.53,94.80%,64.10%
E06000025,South Gloucestershire,65,2.65,2.67,95.40%,83.10%
E06000026,Plymouth,16,2.63,2.63,100.00%,50.00%
E06000027,Torbay,25,2.4,3,100.00%,8.00%
E06000030,Swindon,26,1.73,1.58,100.00%,73.10%
E06000031,Peterborough,301,2.38,2.4,95.70%,86.40%
E06000032,Luton,16,2.81,0,81.30%,0.00%
E06000033,Southend-on-Sea,17,2.88,3.33,94.10%,17.60%
E06000034,Thurrock,187,2.8,2.79,95.20%,93.60%
E06000035,Medway,229,2.55,2.49,99.10%,48.90%
E06000037,West Berkshire,56,2.04,3,92.90%,17.90%
E06000038,Reading,6,2.67,3,100.00%,16.70%
E06000039,Slough,26,2.62,2.59,96.20%,84.60%
E06000040,Windsor and Maidenhead,74,2.65,2.61,93.20%,87.80%
E06000041,Wokingham,2,2,2,100.00%,100.00%
E06000042,Milton Keynes,32,2.94,2.9,100.00%,62.50%
E06000044,Portsmouth,4,2.5,2.33,100.00%,75.00%
E06000045,Southampton,29,2.38,2.5,93.10%,48.30%
E06000046,Isle of Wight,60,2.53,2.13,100.00%,25.00%
E06000047,County Durham,90,2.91,2.93,88.90%,88.90%
E06000049,Cheshire East,78,3.08,2.94,97.40%,20.50%
E06000050,Cheshire West and Chester,321,2.71,2.56,97.80%,67.60%
E06000051,Shropshire,166,2.82,2.69,98.80%,50.60%
E06000052,Cornwall,523,2.57,2.55,95.60%,68.30%
E06000053,Isles of Scilly,30,3.07,0,76.70%,0.00%
E06000054,Wiltshire,134,2.39,2.28,97.80%,61.20%
E06000055,Bedford,13,2.54,2.83,100.00%,46.20%
E06000056,Central Bedfordshire,17,3.24,3.33,64.70%,52.90%
E06000057,Northumberland,303,2.6,2.58,96.40%,73.60%
E06000058,"Bournemouth, Christchurch and Poole",115,2.37,2.38,100.00%,87.80%
E06000059,Dorset,399,2.49,2.47,97.50%,76.20%
E08000001,Bolton,27,2.85,3,100.00%,11.10%
E08000002,Bury,42,2.93,2.53,100.00%,35.70%
E08000003,Manchester,108,2.87,2.84,90.70%,87.00%
E08000004,Oldham,45,3.13,3,97.80%,28.90%
E08000005,Rochdale,111,2.76,2.65,91.00%,71.20%
E08000006,Salford,53,2.68,2.64,100.00%,84.90%
